dbn,school_name,num_of_sat_test_takers,sat_critical_reading_avg._score,sat_math_avg._score,sat_writing_avg._score,sat_total,boro,total_students,borough,asian_per,black_per,hispanic_per,white_per,ell_percent,sped_percent,female_per,male_per,ap_test_takers,grad_rate
01M292,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29.0,355.0,404.0,363.0,1122.0,Manhattan,323.0,Manhattan,14.0,29.1,53.8,1.7,22.3,24.9,38.6,61.4,,44.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91.0,383.0,423.0,366.0,1172.0,Manhattan,299.0,Manhattan,29.2,22.6,45.9,2.3,21.1,21.8,42.6,57.4,39.0,60.0
01M450,EAST SIDE COMMUNITY SCHOOL,70.0,377.0,402.0,370.0,1149.0,Manhattan,649.0,Manhattan,9.7,23.9,55.4,10.4,5.0,26.4,45.3,54.7,19.0,71.0
01M509,MARTA VALLE HIGH SCHOOL,44.0,390.0,433.0,384.0,1207.0,Manhattan,401.0,Manhattan,9.3,31.6,56.9,1.6,11.2,25.9,53.7,46.3,,50.0
01M539,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159.0,522.0,574.0,525.0,1621.0,Manhattan,1725.0,Manhattan,27.8,11.7,14.2,44.9,0.2,2.7,50.8,49.2,255.0,46.0
01M696,BARD HIGH SCHOOL EARLY COLLEGE,130.0,624.0,604.0,628.0,1856.0,Manhattan,560.0,Manhattan,15.1,15.1,18.2,49.8,0.2,0.8,68.7,31.3,,136.0
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16.0,395.0,400.0,387.0,1182.0,Manhattan,184.0,Manhattan,1.7,32.2,59.2,6.3,8.0,32.2,57.5,42.5,,19.0
02M288,FOOD AND FINANCE HIGH SCHOOL,62.0,409.0,393.0,392.0,1194.0,Manhattan,443.0,Manhattan,3.0,44.1,47.6,4.8,2.1,18.5,55.0,45.0,,92.0
02M294,ESSEX STREET ACADEMY,53.0,394.0,384.0,378.0,1156.0,Manhattan,349.0,Manhattan,4.1,27.7,60.6,7.6,3.8,20.4,46.6,53.4,,67.0
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58.0,374.0,375.0,362.0,1111.0,Manhattan,431.0,Manhattan,5.3,26.5,66.1,2.1,9.5,14.8,67.8,32.2,0.0,60.0
02M298,PACE HIGH SCHOOL,85.0,423.0,438.0,432.0,1293.0,Manhattan,421.0,Manhattan,10.1,32.4,42.0,3.9,2.2,13.8,56.3,43.7,21.0,79.0
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48.0,404.0,449.0,416.0,1269.0,Manhattan,427.0,Manhattan,6.0,29.2,59.2,4.9,10.9,20.0,25.1,74.9,99.0,57.0
02M303,"FACING HISTORY SCHOOL, THE",76.0,353.0,358.0,340.0,1051.0,Manhattan,417.0,Manhattan,0.7,23.5,73.2,2.4,20.8,21.7,49.4,50.6,42.0,42.0
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50.0,375.0,388.0,385.0,1148.0,Manhattan,326.0,Manhattan,3.8,41.7,50.6,3.5,6.1,17.0,56.1,43.9,25.0,46.0
02M308,LOWER MANHATTAN ARTS ACADEMY,40.0,403.0,392.0,405.0,1200.0,Manhattan,362.0,Manhattan,9.5,30.7,55.7,3.6,3.9,24.7,60.1,39.9,0.0,48.0
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42.0,373.0,370.0,384.0,1127.0,Manhattan,412.0,Manhattan,3.4,46.8,48.4,1.3,2.6,15.6,100.0,0.0,,58.0
02M374,GRAMERCY ARTS HIGH SCHOOL,60.0,391.0,391.0,394.0,1176.0,Manhattan,548.0,Manhattan,2.8,45.3,45.1,6.7,3.0,12.3,73.7,26.3,,73.0
02M376,NYC ISCHOOL,92.0,473.0,483.0,479.0,1435.0,Manhattan,433.0,Manhattan,11.5,20.6,43.0,24.0,0.5,10.9,51.3,48.7,,
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263.0,465.0,493.0,461.0,1419.0,Manhattan,1312.0,Manhattan,16.7,14.8,57.2,11.1,7.1,14.4,49.6,50.4,213.0,287.0
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,54.0,492.0,465.0,467.0,1424.0,Manhattan,468.0,Manhattan,6.3,10.2,17.6,54.6,0.4,8.8,44.8,55.2,,44.0
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94.0,509.0,490.0,523.0,1522.0,Manhattan,512.0,Manhattan,7.0,19.1,23.7,41.8,2.0,3.2,74.7,25.3,20.0,78.0
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104.0,496.0,563.0,518.0,1577.0,Manhattan,439.0,Manhattan,60.6,5.8,14.6,18.8,1.6,2.3,56.0,44.0,78.0,103.0
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114.0,537.0,590.0,550.0,1677.0,Manhattan,599.0,Manhattan,29.4,8.5,14.0,45.9,1.6,15.0,53.0,47.0,114.0,118.0
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,66.0,517.0,533.0,515.0,1565.0,Manhattan,715.0,Manhattan,16.0,12.3,26.0,38.0,2.1,14.6,49.2,50.8,11.0,75.0
02M414,N.Y.C. MUSEUM SCHOOL,103.0,468.0,492.0,459.0,1419.0,Manhattan,462.0,Manhattan,33.0,11.7,39.9,15.4,0.5,9.4,57.6,42.4,0.0,102.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,127.0,572.0,594.0,592.0,1758.0,Manhattan,531.0,Manhattan,17.2,5.5,11.6,63.7,0.2,1.2,67.5,32.5,155.0,127.0
02M418,MILLENNIUM HIGH SCHOOL,144.0,528.0,553.0,533.0,1614.0,Manhattan,619.0,Manhattan,30.0,8.8,21.7,35.9,0.2,9.1,61.8,38.2,86.0,149.0
02M419,LANDMARK HIGH SCHOOL,62.0,390.0,399.0,381.0,1170.0,Manhattan,396.0,Manhattan,5.2,18.1,74.8,1.9,15.7,18.8,51.5,48.5,,61.0
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336.0,429.0,449.0,428.0,1306.0,Manhattan,1706.0,Manhattan,20.5,24.4,49.7,5.3,4.0,10.9,70.6,29.4,204.0,294.0
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84.0,416.0,426.0,391.0,1233.0,Manhattan,685.0,Manhattan,8.1,30.5,54.2,6.6,5.4,18.6,53.9,46.1,70.0,93.0
02M439,MANHATTAN VILLAGE ACADEMY,95.0,441.0,473.0,458.0,1372.0,Manhattan,414.0,Manhattan,6.3,16.8,71.8,4.9,3.7,8.2,61.5,38.5,42.0,108.0
02M449,VANGUARD HIGH SCHOOL,72.0,395.0,416.0,388.0,1199.0,Manhattan,469.0,Manhattan,9.9,25.7,59.0,4.5,6.1,17.3,53.8,46.2,,53.0
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,49.0,376.0,460.0,391.0,1227.0,Manhattan,331.0,Manhattan,33.5,14.8,36.9,14.5,77.5,0.3,55.7,44.3,12.0,41.0
02M475,STUYVESANT HIGH SCHOOL,832.0,679.0,735.0,682.0,2096.0,Manhattan,3292.0,Manhattan,72.1,1.2,2.4,23.7,0.0,0.4,40.7,59.3,1510.0,780.0
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,167.0,443.0,489.0,442.0,1374.0,Manhattan,767.0,Manhattan,24.8,22.5,43.5,8.8,6.3,11.9,45.5,54.5,101.0,150.0
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,25.0,370.0,349.0,351.0,1070.0,Manhattan,255.0,Manhattan,3.8,35.0,55.3,2.5,15.6,32.9,37.6,62.4,,39.0
02M519,TALENT UNLIMITED HIGH SCHOOL,81.0,469.0,472.0,475.0,1416.0,Manhattan,530.0,Manhattan,4.5,36.0,39.3,19.8,0.2,3.5,78.6,21.4,30.0,127.0
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264.0,407.0,440.0,393.0,1240.0,Manhattan,1466.0,Manhattan,10.5,39.9,46.6,2.3,10.2,14.1,50.9,49.1,118.0,386.0
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131.0,414.0,425.0,400.0,1239.0,Manhattan,709.0,Manhattan,5.1,22.7,69.9,1.8,9.8,13.7,59.4,40.6,80.0,103.0
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42.0,429.0,404.0,420.0,1253.0,Manhattan,236.0,Manhattan,1.4,47.9,42.4,7.4,0.5,5.1,78.8,21.2,,43.0
02M542,MANHATTAN BRIDGES HIGH SCHOOL,66.0,336.0,378.0,344.0,1058.0,Manhattan,552.0,Manhattan,0.2,0.0,99.8,0.0,72.6,1.7,48.6,51.4,67.0,82.0
02M543,NEW DESIGN HIGH SCHOOL,73.0,391.0,395.0,382.0,1168.0,Manhattan,439.0,Manhattan,3.8,30.3,62.2,2.6,5.4,17.5,61.7,38.3,,68.0
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78.0,412.0,581.0,431.0,1424.0,Manhattan,410.0,Manhattan,89.5,3.4,4.0,2.3,38.2,2.3,48.7,51.3,61.0,51.0
02M551,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77.0,405.0,423.0,384.0,1212.0,Manhattan,439.0,Manhattan,2.3,37.4,49.3,10.2,4.2,17.9,39.1,60.9,7.0,62.0
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84.0,408.0,384.0,403.0,1195.0,Manhattan,593.0,Manhattan,2.3,35.1,59.3,2.3,6.4,21.8,67.4,32.6,67.0,93.0
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,335.0,423.0,423.0,411.0,1257.0,Manhattan,1732.0,Manhattan,3.8,39.1,52.3,4.1,2.8,11.5,92.7,7.3,70.0,376.0
02M605,HUMANITIES PREPARATORY ACADEMY,36.0,426.0,403.0,426.0,1255.0,Manhattan,210.0,Manhattan,7.3,21.9,57.8,11.5,1.0,6.8,57.3,42.7,,40.0
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83.0,399.0,418.0,390.0,1207.0,Manhattan,443.0,Manhattan,7.1,29.6,60.5,1.5,6.2,15.7,35.0,65.0,52.0,90.0
02M630,ART AND DESIGN HIGH SCHOOL,270.0,444.0,441.0,430.0,1315.0,Manhattan,1438.0,Manhattan,9.0,26.8,51.0,12.6,1.6,11.1,53.3,46.7,84.0,231.0
02M655,LIFE SCIENCES SECONDARY SCHOOL,61.0,409.0,424.0,403.0,1236.0,Manhattan,771.0,Manhattan,3.3,28.6,64.3,2.4,7.9,19.7,48.4,51.6,50.0,101.0
03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49.0,374.0,384.0,374.0,1132.0,Manhattan,435.0,Manhattan,1.0,37.3,58.9,1.4,14.4,19.6,44.3,55.7,,70.0
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41.0,384.0,390.0,370.0,1144.0,Manhattan,387.0,Manhattan,2.2,37.4,56.0,3.0,12.8,15.3,42.1,57.9,,62.0
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32.0,371.0,368.0,370.0,1109.0,Manhattan,531.0,Manhattan,0.4,59.9,38.8,0.8,7.4,18.8,61.6,38.4,65.0,90.0
